ID;Starts;End;Transportation Expense;Distance to Work;Age;Daily Work Load Average;Body Mass Index;Children;Pets;Number of days;;;;
14;06.07.2015;15.08.2015;155;12;34;239,55;25;2;0;41;;;;
11;07.07.2015;11.07.2015;289;36;33;239,55;30;2;1;5;;;;
3;10.07.2015;12.07.2015;179;51;38;239,55;31;0;0;3;;;;
1;13.07.2015;21.07.2015;235;11;37;239,55;29;1;1;9;;;;
36;14.07.2015;14.07.2015;118;13;50;239,55;31;1;0;1;;;;
20;14.07.2015;22.07.2015;260;50;36;239,55;23;4;0;9;;;;
20;15.07.2015;23.07.2015;260;50;36;239,55;23;4;0;9;;;;
3;15.07.2015;16.07.2015;179;51;38;239,55;31;0;0;2;;;;
3;15.07.2015;17.07.2015;179;51;38;239,55;31;0;0;3;;;;
3;15.07.2015;19.07.2015;179;51;38;239,55;31;0;0;5;;;;
7;16.07.2015;20.07.2015;279;5;39;239,55;24;2;0;5;;;;
24;17.07.2015;25.07.2015;246;25;41;239,55;23;0;0;9;;;;
10;17.07.2015;25.07.2015;361;52;28;239,55;27;1;4;9;;;;
3;17.07.2015;19.07.2015;179;51;38;239,55;31;0;0;3;;;;
20;20.07.2015;28.07.2015;260;50;36;239,55;23;4;0;9;;;;
11;23.07.2015;25.07.2015;289;36;33;239,55;30;2;1;3;;;;
20;24.07.2015;28.07.2015;260;50;36;239,55;23;4;0;5;;;;
3;27.07.2015;04.08.2015;179;51;38;239,55;31;0;0;9;;;;
6;30.07.2015;07.08.2015;189;29;33;239,55;25;2;2;9;;;;
3;03.08.2015;04.08.2015;179;51;38;205,92;31;0;0;2;;;;
11;04.08.2015;05.08.2015;289;36;33;205,92;30;2;1;2;;;;
11;04.08.2015;12.08.2015;289;36;33;205,92;30;2;1;9;;;;
33;05.08.2015;07.08.2015;248;25;47;205,92;32;2;1;3;;;;
10;10.08.2015;19.09.2015;361;52;28;205,92;27;1;4;41;;;;
18;12.08.2015;20.08.2015;330;16;28;205,92;25;0;0;9;;;;
30;12.08.2015;16.08.2015;157;27;29;205,92;22;0;0;5;;;;
20;14.08.2015;18.08.2015;260;50;36;205,92;23;4;0;5;;;;
11;17.08.2015;25.08.2015;289;36;33;205,92;30;2;1;9;;;;
3;17.08.2015;25.08.2015;179;51;38;205,92;31;0;0;9;;;;
2;17.08.2015;25.08.2015;235;29;48;205,92;33;1;5;9;;;;
3;17.08.2015;19.08.2015;179;51;38;205,92;31;0;0;3;;;;
10;17.08.2015;18.08.2015;361;52;28;205,92;27;1;4;2;;;;
11;19.08.2015;27.08.2015;289;36;33;205,92;30;2;1;9;;;;
19;20.08.2015;24.08.2015;291;50;32;205,92;23;0;0;5;;;;
2;21.08.2015;29.08.2015;235;29;48;205,92;33;1;5;9;;;;
10;24.08.2015;31.08.2015;361;52;28;205,92;27;1;4;8;;;;
2;27.08.2015;04.09.2015;235;29;48;205,92;33;1;5;9;;;;
1;27.08.2015;31.08.2015;235;11;37;205,92;29;1;1;5;;;;
3;28.08.2015;30.08.2015;179;51;38;205,92;31;0;0;3;;;;
20;28.08.2015;01.09.2015;260;50;36;205,92;23;4;0;5;;;;
27;01.09.2015;03.09.2015;184;42;27;241,48;21;0;0;3;;;;
3;01.09.2015;05.09.2015;179;51;38;241,48;31;0;0;5;;;;
20;04.09.2015;12.09.2015;260;50;36;241,48;23;4;0;9;;;;
34;07.09.2015;11.09.2015;118;10;37;241,48;28;0;0;5;;;;
5;08.09.2015;16.09.2015;235;20;43;241,48;38;1;0;9;;;;
28;08.09.2015;10.09.2015;225;26;28;241,48;24;1;2;3;;;;
14;09.09.2015;11.09.2015;155;12;34;241,48;25;2;0;3;;;;
33;11.09.2015;12.09.2015;248;25;47;241,48;32;2;1;2;;;;
34;13.09.2015;16.09.2015;118;10;37;241,48;28;0;0;4;;;;
15;14.09.2015;16.10.2015;291;31;40;241,48;25;1;1;33;;;;
3;14.09.2015;17.09.2015;179;51;38;241,48;31;0;0;4;;;;
34;15.09.2015;17.09.2015;118;10;37;241,48;28;0;0;3;;;;
28;16.09.2015;19.09.2015;225;26;28;241,48;24;1;2;4;;;;
3;18.09.2015;21.09.2015;179;51;38;241,48;31;0;0;4;;;;
20;21.09.2015;21.09.2015;260;50;36;241,48;23;4;0;1;;;;
11;22.09.2015;22.09.2015;289;36;33;241,48;30;2;1;1;;;;
3;23.09.2015;26.09.2015;179;51;38;241,48;31;0;0;4;;;;
15;24.09.2015;28.09.2015;291;31;40;241,48;25;1;1;5;;;;
20;25.09.2015;29.09.2015;260;50;36;241,48;23;4;0;5;;;;
29;28.09.2015;28.09.2015;225;26;28;241,48;24;1;2;1;;;;
36;29.09.2015;29.09.2015;118;13;50;241,48;31;1;0;1;;;;
13;30.09.2015;30.09.2015;369;17;31;241,48;25;3;0;1;;;;
3;06.10.2015;09.10.2015;179;51;38;253,47;31;0;0;4;;;;
34;06.10.2015;09.10.2015;118;10;37;253,47;28;0;0;4;;;;
15;13.10.2015;21.10.2015;291;31;40;253,47;25;1;1;9;;;;
34;13.10.2015;16.10.2015;118;10;37;253,47;28;0;0;4;;;;
36;14.10.2015;14.10.2015;118;13;50;253,47;31;1;0;1;;;;
28;14.10.2015;16.10.2015;225;26;28;253,47;24;1;2;3;;;;
22;15.10.2015;16.10.2015;179;26;30;253,47;19;0;0;2;;;;
3;16.10.2015;19.10.2015;179;51;38;253,47;31;0;0;4;;;;
28;16.10.2015;19.10.2015;225;26;28;253,47;24;1;2;4;;;;
28;20.10.2015;22.10.2015;225;26;28;253,47;24;1;2;3;;;;
33;21.10.2015;23.10.2015;248;25;47;253,47;32;2;1;3;;;;
3;21.10.2015;29.10.2015;179;51;38;253,47;31;0;0;9;;;;
28;21.10.2015;24.10.2015;225;26;28;253,47;24;1;2;4;;;;
11;21.10.2015;29.10.2015;289;36;33;253,47;30;2;1;9;;;;
20;22.10.2015;07.11.2015;260;50;36;253,47;23;4;0;17;;;;
15;22.10.2015;27.10.2015;291;31;40;253,47;25;1;1;6;;;;
10;23.10.2015;24.10.2015;361;52;28;253,47;27;1;4;2;;;;
20;30.10.2015;02.11.2015;260;50;36;253,47;23;4;0;4;;;;
14;02.11.2015;04.12.2015;155;12;34;306,35;25;2;0;33;;;;
33;02.11.2015;03.11.2015;248;25;47;306,35;32;2;1;2;;;;
28;04.11.2015;05.11.2015;225;26;28;306,35;24;1;2;2;;;;
3;05.11.2015;13.11.2015;179;51;38;306,35;31;0;0;9;;;;
3;05.11.2015;06.11.2015;179;51;38;306,35;31;0;0;2;;;;
6;09.11.2015;17.11.2015;189;29;33;306,35;25;2;2;9;;;;
28;10.11.2015;13.11.2015;225;26;28;306,35;24;1;2;4;;;;
11;11.11.2015;05.12.2015;289;36;33;306,35;30;2;1;25;;;;
17;12.11.2015;20.11.2015;179;22;40;306,35;22;2;0;9;;;;
15;16.11.2015;26.12.2015;291;31;40;306,35;25;1;1;41;;;;
28;18.11.2015;19.11.2015;225;26;28;306,35;24;1;2;2;;;;
28;18.11.2015;21.11.2015;225;26;28;306,35;24;1;2;4;;;;
15;19.11.2015;24.11.2015;291;31;40;306,35;25;1;1;6;;;;
14;20.11.2015;28.11.2015;155;12;34;306,35;25;2;0;9;;;;
28;20.11.2015;23.11.2015;225;26;28;306,35;24;1;2;4;;;;
17;25.11.2015;03.12.2015;179;22;40;306,35;22;2;0;9;;;;
15;26.11.2015;29.11.2015;291;31;40;306,35;25;1;1;4;;;;
20;27.11.2015;01.12.2015;260;50;36;306,35;23;4;0;5;;;;
34;01.12.2015;03.02.2016;118;10;37;261,31;28;0;0;65;;;;
33;01.12.2015;02.12.2015;248;25;47;261,31;32;2;1;2;;;;
36;02.12.2015;04.12.2015;118;13;50;261,31;31;1;0;3;;;;
1;02.12.2015;10.12.2015;235;11;37;261,31;29;1;1;9;;;;
28;03.12.2015;05.12.2015;225;26;28;261,31;24;1;2;3;;;;
20;04.12.2015;12.12.2015;260;50;36;261,31;23;4;0;9;;;;
34;08.12.2015;02.02.2016;118;10;37;261,31;28;0;0;57;;;;
10;09.12.2015;17.12.2015;361;52;28;261,31;27;1;4;9;;;;
28;10.12.2015;13.12.2015;225;26;28;261,31;24;1;2;4;;;;
34;11.12.2015;13.12.2015;118;10;37;261,31;28;0;0;3;;;;
20;11.12.2015;14.12.2015;260;50;36;261,31;23;4;0;4;;;;
28;15.12.2015;17.12.2015;225;26;28;261,31;24;1;2;3;;;;
10;16.12.2015;24.12.2015;361;52;28;261,31;27;1;4;9;;;;
24;18.12.2015;26.12.2015;246;25;41;261,31;23;0;0;9;;;;
28;18.12.2015;20.12.2015;225;26;28;261,31;24;1;2;3;;;;
34;04.01.2016;05.01.2016;118;10;37;308,59;28;0;0;2;;;;
14;05.01.2016;13.01.2016;155;12;34;308,59;25;2;0;9;;;;
34;05.01.2016;06.01.2016;118;10;37;308,59;28;0;0;2;;;;
28;06.01.2016;07.01.2016;225;26;28;308,59;24;1;2;2;;;;
28;06.01.2016;08.01.2016;225;26;28;308,59;24;1;2;3;;;;
27;07.01.2016;09.01.2016;184;42;27;308,59;21;0;0;3;;;;
28;07.01.2016;09.01.2016;225;26;28;308,59;24;1;2;3;;;;
28;08.01.2016;09.01.2016;225;26;28;308,59;24;1;2;2;;;;
34;11.01.2016;13.01.2016;118;10;37;308,59;28;0;0;3;;;;
34;11.01.2016;13.01.2016;118;10;37;308,59;28;0;0;3;;;;
22;12.01.2016;20.01.2016;179;26;30;308,59;19;0;0;9;;;;
11;12.01.2016;20.01.2016;289;36;33;308,59;30;2;1;9;;;;
28;12.01.2016;14.01.2016;225;26;28;308,59;24;1;2;3;;;;
34;12.01.2016;14.01.2016;118;10;37;308,59;28;0;0;3;;;;
34;12.01.2016;14.01.2016;118;10;37;308,59;28;0;0;3;;;;
34;13.01.2016;15.01.2016;118;10;37;308,59;28;0;0;3;;;;
34;13.01.2016;15.01.2016;118;10;37;308,59;28;0;0;3;;;;
34;14.01.2016;16.01.2016;118;10;37;308,59;28;0;0;3;;;;
34;15.01.2016;17.01.2016;118;10;37;308,59;28;0;0;3;;;;
27;21.01.2016;23.01.2016;184;42;27;308,59;21;0;0;3;;;;
34;25.01.2016;25.01.2016;118;10;37;308,59;28;0;0;1;;;;
28;26.01.2016;27.01.2016;225;26;28;308,59;24;1;2;2;;;;
11;28.01.2016;31.01.2016;289;36;33;308,59;30;2;1;4;;;;
34;28.01.2016;30.01.2016;118;10;37;308,59;28;0;0;3;;;;
24;03.02.2016;11.02.2016;246;25;41;302,59;23;0;0;9;;;;
27;05.02.2016;06.02.2016;184;42;27;302,59;21;0;0;2;;;;
31;08.02.2016;16.02.2016;388;15;50;302,59;24;0;0;9;;;;
31;09.02.2016;17.02.2016;388;15;50;302,59;24;0;0;9;;;;
28;09.02.2016;11.02.2016;225;26;28;302,59;24;1;2;3;;;;
3;10.02.2016;18.02.2016;179;51;38;302,59;31;0;0;9;;;;
6;11.02.2016;19.02.2016;189;29;33;302,59;25;2;2;9;;;;
14;11.02.2016;13.02.2016;155;12;34;302,59;25;2;0;3;;;;
11;12.02.2016;20.02.2016;289;36;33;302,59;30;2;1;9;;;;
20;12.02.2016;14.02.2016;260;50;36;302,59;23;4;0;3;;;;
18;15.02.2016;23.02.2016;330;16;28;302,59;25;0;0;9;;;;
28;15.02.2016;17.02.2016;225;26;28;302,59;24;1;2;3;;;;
22;16.02.2016;17.02.2016;179;26;30;302,59;19;0;0;2;;;;
18;16.02.2016;17.02.2016;330;16;28;302,59;25;0;0;2;;;;
28;17.02.2016;18.02.2016;225;26;28;302,59;24;1;2;2;;;;
27;23.02.2016;02.03.2016;184;42;27;302,59;21;0;0;9;;;;
6;25.02.2016;04.03.2016;189;29;33;302,59;25;2;2;9;;;;
28;25.02.2016;28.02.2016;225;26;28;302,59;24;1;2;4;;;;
20;01.03.2016;09.03.2016;260;50;36;343,25;23;4;0;9;;;;
19;01.03.2016;03.03.2016;291;50;32;343,25;23;0;0;3;;;;
20;02.03.2016;10.03.2016;260;50;36;343,25;23;4;0;9;;;;
22;03.03.2016;11.03.2016;179;26;30;343,25;19;0;0;9;;;;
20;04.03.2016;13.04.2016;260;50;36;343,25;23;4;0;41;;;;
33;04.03.2016;07.03.2016;248;25;47;343,25;32;2;1;4;;;;
17;07.03.2016;16.04.2016;179;22;40;343,25;22;2;0;41;;;;
30;08.03.2016;11.03.2016;157;27;29;343,25;22;0;0;4;;;;
14;14.03.2016;30.03.2016;155;12;34;343,25;25;2;0;17;;;;
17;15.03.2016;23.03.2016;179;22;40;343,25;22;2;0;9;;;;
15;16.03.2016;24.03.2016;291;31;40;343,25;25;1;1;9;;;;
7;17.03.2016;02.04.2016;279;5;39;343,25;24;2;0;17;;;;
28;18.03.2016;20.03.2016;225;26;28;343,25;24;1;2;3;;;;
20;21.03.2016;06.04.2016;260;50;36;343,25;23;4;0;17;;;;
14;22.03.2016;30.03.2016;155;12;34;343,25;25;2;0;9;;;;
11;24.03.2016;01.04.2016;289;36;33;343,25;30;2;1;9;;;;
17;24.03.2016;01.04.2016;179;22;40;343,25;22;2;0;9;;;;
33;25.03.2016;28.03.2016;248;25;47;343,25;32;2;1;4;;;;
28;25.03.2016;26.03.2016;225;26;28;343,25;24;1;2;2;;;;
20;25.03.2016;29.03.2016;260;50;36;343,25;23;4;0;5;;;;
28;28.03.2016;05.04.2016;225;26;28;343,25;24;1;2;9;;;;
22;28.03.2016;29.03.2016;179;26;30;343,25;19;0;0;2;;;;
7;28.03.2016;05.04.2016;279;5;39;343,25;24;2;0;9;;;;
28;28.03.2016;29.03.2016;225;26;28;343,25;24;1;2;2;;;;
28;29.03.2016;06.04.2016;225;26;28;343,25;24;1;2;9;;;;
3;29.03.2016;22.04.2016;179;51;38;343,25;31;0;0;25;;;;
28;30.03.2016;15.04.2016;225;26;28;343,25;24;1;2;17;;;;
3;30.03.2016;02.04.2016;179;51;38;343,25;31;0;0;4;;;;
28;30.03.2016;01.04.2016;225;26;28;343,25;24;1;2;3;;;;
2;04.04.2016;04.04.2016;235;29;48;326,45;33;1;5;1;;;;
3;06.04.2016;30.04.2016;179;51;38;326,45;31;0;0;25;;;;
15;06.04.2016;07.04.2016;291;31;40;326,45;25;1;1;2;;;;
36;07.04.2016;08.04.2016;118;13;50;326,45;31;1;0;2;;;;
1;08.04.2016;11.04.2016;235;11;37;326,45;29;1;1;4;;;;
24;08.04.2016;16.04.2016;246;25;41;326,45;23;0;0;9;;;;
15;08.04.2016;11.04.2016;291;31;40;326,45;25;1;1;4;;;;
14;12.04.2016;13.04.2016;155;12;34;326,45;25;2;0;2;;;;
24;13.04.2016;07.05.2016;246;25;41;326,45;23;0;0;25;;;;
28;13.04.2016;14.04.2016;225;26;28;326,45;24;1;2;2;;;;
14;14.04.2016;15.04.2016;155;12;34;326,45;25;2;0;2;;;;
28;15.04.2016;17.04.2016;225;26;28;326,45;24;1;2;3;;;;
20;15.04.2016;19.04.2016;260;50;36;326,45;23;4;0;5;;;;
15;22.04.2016;23.04.2016;291;31;40;326,45;25;1;1;2;;;;
11;26.04.2016;04.05.2016;289;36;33;326,45;30;2;1;9;;;;
14;27.04.2016;21.05.2016;155;12;34;326,45;25;2;0;25;;;;
23;27.04.2016;05.05.2016;378;49;36;326,45;21;2;4;9;;;;
11;28.04.2016;14.05.2016;289;36;33;326,45;30;2;1;17;;;;
20;29.04.2016;24.06.2016;260;50;36;326,45;23;4;0;57;;;;
33;29.04.2016;07.05.2016;248;25;47;326,45;32;2;1;9;;;;
14;02.05.2016;03.05.2016;155;12;34;378,88;25;2;0;2;;;;
3;03.05.2016;11.05.2016;179;51;38;378,88;31;0;0;9;;;;
28;03.05.2016;11.05.2016;225;26;28;378,88;24;1;2;9;;;;
11;04.05.2016;12.05.2016;289;36;33;378,88;30;2;1;9;;;;
11;04.05.2016;28.05.2016;289;36;33;378,88;30;2;1;25;;;;
14;05.05.2016;07.05.2016;155;12;34;378,88;25;2;0;3;;;;
14;09.05.2016;11.05.2016;155;12;34;378,88;25;2;0;3;;;;
3;10.05.2016;11.05.2016;179;51;38;378,88;31;0;0;2;;;;
7;11.05.2016;11.05.2016;279;5;39;378,88;24;2;0;1;;;;
27;11.05.2016;15.05.2016;184;42;27;378,88;21;0;0;5;;;;
36;11.05.2016;04.06.2016;118;13;50;378,88;31;1;0;25;;;;
18;18.05.2016;18.05.2016;330;16;28;378,88;25;0;0;1;;;;
3;24.05.2016;25.05.2016;179;51;38;378,88;31;0;0;2;;;;
23;25.05.2016;25.05.2016;378;49;36;378,88;21;2;4;1;;;;
31;25.05.2016;25.05.2016;388;15;50;378,88;24;0;0;1;;;;
10;27.05.2016;04.06.2016;361;52;28;378,88;27;1;4;9;;;;
1;03.06.2016;19.06.2016;235;11;37;377,55;29;1;1;17;;;;
24;06.06.2016;14.06.2016;246;25;41;377,55;23;0;0;9;;;;
36;07.06.2016;08.06.2016;118;13;50;377,55;31;1;0;2;;;;
36;08.06.2016;27.08.2016;118;13;50;377,55;31;1;0;81;;;;
23;09.06.2016;17.06.2016;378;49;36;377,55;21;2;4;9;;;;
3;10.06.2016;12.06.2016;179;51;38;377,55;31;0;0;3;;;;
3;13.06.2016;21.06.2016;179;51;38;377,55;31;0;0;9;;;;
10;13.06.2016;21.06.2016;361;52;28;377,55;27;1;4;9;;;;
24;14.06.2016;08.07.2016;246;25;41;377,55;23;0;0;25;;;;
15;16.06.2016;20.06.2016;291;31;40;377,55;25;1;1;5;;;;
24;17.06.2016;25.06.2016;246;25;41;377,55;23;0;0;9;;;;
