ID;Starts;End;Transportation Expense;Distance to Work;Age;Daily Work Load Average;Body Mass Index;Children;Pets;Number of days;;;;
14;20.06.2016;24.06.2016;155;12;34;377,55;25;2;0;5;;;;
32;20.06.2016;22.06.2016;289;48;49;377,55;36;0;2;3;;;;
24;27.06.2016;05.07.2016;246;25;41;377,55;23;0;0;9;;;;
36;29.06.2016;07.07.2016;118;13;50;377,55;31;1;0;9;;;;
28;30.06.2016;02.07.2016;225;26;28;377,55;24;1;2;3;;;;
14;05.07.2016;21.07.2016;155;12;34;275,31;25;2;0;17;;;;
36;06.07.2016;14.07.2016;118;13;50;275,31;31;1;0;9;;;;
34;08.07.2016;16.07.2016;118;10;37;275,31;28;0;0;9;;;;
34;08.07.2016;12.07.2016;118;10;37;275,31;28;0;0;5;;;;
11;11.07.2016;12.08.2016;289;36;33;275,31;30;2;1;33;;;;
18;12.07.2016;20.07.2016;330;16;28;275,31;25;0;0;9;;;;
22;14.07.2016;22.07.2016;179;26;30;275,31;19;0;0;9;;;;
11;14.07.2016;22.07.2016;289;36;33;275,31;30;2;1;9;;;;
14;15.07.2016;17.07.2016;155;12;34;275,31;25;2;0;3;;;;
18;18.07.2016;26.07.2016;330;16;28;275,31;25;0;0;9;;;;
30;18.07.2016;21.07.2016;157;27;29;275,31;22;0;0;4;;;;
18;19.07.2016;27.07.2016;330;16;28;275,31;25;0;0;9;;;;
10;19.07.2016;27.07.2016;361;52;28;275,31;27;1;4;9;;;;
11;20.07.2016;28.07.2016;289;36;33;275,31;30;2;1;9;;;;
20;21.07.2016;21.07.2016;260;50;36;275,31;23;4;0;1;;;;
3;21.07.2016;29.07.2016;179;51;38;275,31;31;0;0;9;;;;
11;04.08.2016;12.08.2016;289;36;33;265,62;30;2;1;9;;;;
11;07.08.2016;08.08.2016;289;36;33;265,62;30;2;1;2;;;;
10;08.08.2016;16.08.2016;361;52;28;265,62;27;1;4;9;;;;
9;08.08.2016;16.08.2016;228;14;58;265,62;22;2;1;9;;;;
11;08.08.2016;12.08.2016;289;36;33;265,62;30;2;1;5;;;;
33;09.08.2016;10.08.2016;248;25;47;265,62;32;2;1;2;;;;
21;10.08.2016;18.08.2016;268;11;33;265,62;25;0;0;9;;;;
26;10.08.2016;11.08.2016;300;26;43;265,62;25;2;1;2;;;;
36;10.08.2016;13.08.2016;118;13;50;265,62;31;1;0;4;;;;
26;10.08.2016;12.08.2016;300;26;43;265,62;25;2;1;3;;;;
22;10.08.2016;11.08.2016;179;26;30;265,62;19;0;0;2;;;;
30;11.08.2016;14.08.2016;157;27;29;265,62;22;0;0;4;;;;
20;11.08.2016;15.08.2016;260;50;36;265,62;23;4;0;5;;;;
33;14.08.2016;16.08.2016;248;25;47;265,62;32;2;1;3;;;;
1;15.08.2016;16.08.2016;235;11;37;265,62;29;1;1;2;;;;
36;17.08.2016;18.08.2016;118;13;50;265,62;31;1;0;2;;;;
1;24.08.2016;01.09.2016;235;11;37;265,62;29;1;1;9;;;;
27;30.08.2016;07.09.2016;184;42;27;265,62;21;0;0;9;;;;
3;05.09.2016;13.09.2016;179;51;38;294,22;31;0;0;9;;;;
11;07.09.2016;01.10.2016;289;36;33;294,22;30;2;1;25;;;;
5;08.09.2016;08.09.2016;235;20;43;294,22;38;1;0;1;;;;
3;09.09.2016;12.09.2016;179;51;38;294,22;31;0;0;4;;;;
24;12.09.2016;28.09.2016;246;25;41;294,22;23;0;0;17;;;;
8;13.09.2016;13.09.2016;231;35;39;294,22;35;2;2;1;;;;
19;13.09.2016;13.09.2016;291;50;32;294,22;23;0;0;1;;;;
15;13.09.2016;16.09.2016;291;31;40;294,22;25;1;1;4;;;;
24;14.09.2016;16.10.2016;246;25;41;294,22;23;0;0;33;;;;
3;14.09.2016;22.09.2016;179;51;38;294,22;31;0;0;9;;;;
5;14.09.2016;22.09.2016;235;20;43;294,22;38;1;0;9;;;;
5;15.09.2016;15.09.2016;235;20;43;294,22;38;1;0;1;;;;
3;15.09.2016;16.09.2016;179;51;38;294,22;31;0;0;2;;;;
36;15.09.2016;16.09.2016;118;13;50;294,22;31;1;0;2;;;;
15;16.09.2016;20.09.2016;291;31;40;294,22;25;1;1;5;;;;
20;16.09.2016;20.09.2016;260;50;36;294,22;23;4;0;5;;;;
15;16.09.2016;19.09.2016;291;31;40;294,22;25;1;1;4;;;;
15;26.09.2016;05.11.2016;291;31;40;294,22;25;1;1;41;;;;
3;26.09.2016;04.10.2016;179;51;38;294,22;31;0;0;9;;;;
11;05.10.2016;13.10.2016;289;36;33;265,02;30;2;1;9;;;;
1;05.10.2016;09.10.2016;235;11;37;265,02;29;1;1;5;;;;
11;05.10.2016;13.10.2016;289;36;33;265,02;30;2;1;9;;;;
36;06.10.2016;06.10.2016;118;13;50;265,02;31;1;0;1;;;;
33;06.10.2016;06.10.2016;248;25;47;265,02;32;2;1;1;;;;
11;06.10.2016;14.10.2016;289;36;33;265,02;30;2;1;9;;;;
22;12.10.2016;20.10.2016;179;26;30;265,02;19;0;0;9;;;;
34;12.10.2016;15.10.2016;118;10;37;265,02;28;0;0;4;;;;
13;12.10.2016;20.10.2016;369;17;31;265,02;25;3;0;9;;;;
5;14.10.2016;14.10.2016;235;20;43;265,02;38;1;0;1;;;;
22;14.10.2016;17.12.2016;179;26;30;265,02;19;0;0;65;;;;
3;14.10.2016;15.10.2016;179;51;38;265,02;31;0;0;2;;;;
11;15.10.2016;31.10.2016;289;36;33;265,02;30;2;1;17;;;;
5;16.10.2016;16.10.2016;235;20;43;265,02;38;1;0;1;;;;
20;16.10.2016;19.10.2016;260;50;36;265,02;23;4;0;4;;;;
5;19.10.2016;21.10.2016;235;20;43;265,02;38;1;0;3;;;;
5;19.10.2016;21.10.2016;235;20;43;265,02;38;1;0;3;;;;
36;20.10.2016;21.10.2016;118;13;50;265,02;31;1;0;2;;;;
15;20.10.2016;24.10.2016;291;31;40;265,02;25;1;1;5;;;;
22;22.10.2016;07.11.2016;179;26;30;265,02;19;0;0;17;;;;
36;22.10.2016;23.10.2016;118;13;50;265,02;31;1;0;2;;;;
10;26.10.2016;03.11.2016;361;52;28;265,02;27;1;4;9;;;;
20;27.10.2016;27.10.2016;260;50;36;265,02;23;4;0;1;;;;
15;27.10.2016;27.10.2016;291;31;40;265,02;25;1;1;1;;;;
30;27.10.2016;27.10.2016;157;27;29;265,02;22;0;0;1;;;;
22;28.10.2016;02.11.2016;179;26;30;265,02;19;0;0;6;;;;
22;28.10.2016;02.11.2016;179;26;30;265,02;19;0;0;6;;;;
36;29.10.2016;30.10.2016;118;13;50;265,02;31;1;0;2;;;;
34;07.11.2016;15.11.2016;118;10;37;284,03;28;0;0;9;;;;
33;07.11.2016;09.11.2016;248;25;47;284,03;32;2;1;3;;;;
3;08.11.2016;16.11.2016;179;51;38;284,03;31;0;0;9;;;;
20;11.11.2016;14.11.2016;260;50;36;284,03;23;4;0;4;;;;
23;14.11.2016;22.11.2016;378;49;36;284,03;21;2;4;9;;;;
14;14.11.2016;14.03.2017;155;12;34;284,03;25;2;0;121;;;;
15;14.11.2016;15.11.2016;291;31;40;284,03;25;1;1;2;;;;
5;14.11.2016;22.11.2016;235;20;43;284,03;38;1;0;9;;;;
18;15.11.2016;15.11.2016;330;16;28;284,03;25;0;0;1;;;;
34;16.11.2016;19.11.2016;118;10;37;284,03;28;0;0;4;;;;
1;16.11.2016;17.11.2016;235;11;37;284,03;29;1;1;2;;;;
1;17.11.2016;19.11.2016;235;11;37;284,03;29;1;1;3;;;;
3;17.11.2016;20.11.2016;179;51;38;284,03;31;0;0;4;;;;
15;18.11.2016;22.11.2016;291;31;40;284,03;25;1;1;5;;;;
24;18.11.2016;26.11.2016;246;25;41;284,03;23;0;0;9;;;;
24;21.11.2016;29.11.2016;246;25;41;284,03;23;0;0;9;;;;
3;22.11.2016;23.11.2016;179;51;38;284,03;31;0;0;2;;;;
20;23.11.2016;01.12.2016;260;50;36;284,03;23;4;0;9;;;;
3;24.11.2016;25.11.2016;179;51;38;284,03;31;0;0;2;;;;
23;25.11.2016;25.11.2016;378;49;36;284,03;21;2;4;1;;;;
20;25.11.2016;03.12.2016;260;50;36;284,03;23;4;0;9;;;;
7;29.11.2016;29.11.2016;279;5;39;284,03;24;2;0;1;;;;
28;05.12.2016;08.12.2016;225;26;28;236,63;24;1;2;4;;;;
1;05.12.2016;08.12.2016;235;11;37;236,63;29;1;1;4;;;;
3;05.12.2016;07.12.2016;179;51;38;236,63;31;0;0;3;;;;
3;05.12.2016;06.12.2016;179;51;38;236,63;31;0;0;2;;;;
36;06.12.2016;07.12.2016;118;13;50;236,63;31;1;0;2;;;;
20;09.12.2016;13.12.2016;260;50;36;236,63;23;4;0;5;;;;
24;15.12.2016;23.12.2016;246;25;41;236,63;23;0;0;9;;;;
3;15.12.2016;16.12.2016;179;51;38;236,63;31;0;0;2;;;;
3;16.12.2016;17.12.2016;179;51;38;236,63;31;0;0;2;;;;
11;19.12.2016;27.12.2016;289;36;33;236,63;30;2;1;9;;;;
30;19.12.2016;21.12.2016;157;27;29;236,63;22;0;0;3;;;;
3;19.12.2016;22.12.2016;179;51;38;236,63;31;0;0;4;;;;
5;20.12.2016;28.12.2016;235;20;43;236,63;38;1;0;9;;;;
1;20.12.2016;24.12.2016;235;11;37;236,63;29;1;1;5;;;;
22;20.12.2016;21.12.2016;179;26;30;236,63;19;0;0;2;;;;
34;20.12.2016;28.12.2016;118;10;37;236,63;28;0;0;9;;;;
20;21.12.2016;29.12.2016;260;50;36;236,63;23;4;0;9;;;;
1;22.12.2016;24.12.2016;235;11;37;236,63;29;1;1;3;;;;
3;23.12.2016;24.12.2016;179;51;38;236,63;31;0;0;2;;;;
1;03.01.2017;04.01.2017;235;11;37;330,06;29;1;1;2;;;;
14;03.01.2017;07.01.2017;155;12;34;330,06;25;2;0;5;;;;
28;04.01.2017;09.01.2017;225;26;28;330,06;24;1;2;6;;;;
34;09.01.2017;10.02.2017;118;10;37;330,06;28;0;0;33;;;;
14;09.01.2017;11.01.2017;155;12;34;330,06;25;2;0;3;;;;
11;09.01.2017;17.01.2017;289;36;33;330,06;30;2;1;9;;;;
15;11.01.2017;19.01.2017;291;31;40;330,06;25;1;1;9;;;;
5;16.01.2017;24.01.2017;235;20;43;330,06;38;1;0;9;;;;
36;16.01.2017;20.01.2017;118;13;50;330,06;31;1;0;5;;;;
3;25.01.2017;26.01.2017;179;51;38;330,06;31;0;0;2;;;;
3;27.01.2017;28.01.2017;179;51;38;330,06;31;0;0;2;;;;
28;01.02.2017;02.02.2017;225;26;28;251,82;24;1;2;2;;;;
3;01.02.2017;04.02.2017;179;51;38;251,82;31;0;0;4;;;;
11;03.02.2017;06.02.2017;289;36;33;251,82;30;2;1;4;;;;
34;07.02.2017;09.02.2017;118;10;37;251,82;28;0;0;3;;;;
20;10.02.2017;13.02.2017;260;50;36;251,82;23;4;0;4;;;;
6;13.02.2017;21.02.2017;189;29;33;251,82;25;2;2;9;;;;
3;13.02.2017;15.02.2017;179;51;38;251,82;31;0;0;3;;;;
3;13.02.2017;16.02.2017;179;51;38;251,82;31;0;0;4;;;;
3;15.02.2017;18.02.2017;179;51;38;251,82;31;0;0;4;;;;
3;16.02.2017;24.02.2017;179;51;38;251,82;31;0;0;9;;;;
24;16.02.2017;24.02.2017;246;25;41;251,82;23;0;0;9;;;;
3;17.02.2017;20.02.2017;179;51;38;251,82;31;0;0;4;;;;
3;17.02.2017;20.02.2017;179;51;38;251,82;31;0;0;4;;;;
24;21.02.2017;23.02.2017;246;25;41;251,82;23;0;0;3;;;;
15;21.02.2017;23.02.2017;291;31;40;251,82;25;1;1;3;;;;
30;22.02.2017;10.03.2017;157;27;29;251,82;22;0;0;17;;;;
3;22.02.2017;25.02.2017;179;51;38;251,82;31;0;0;4;;;;
3;22.02.2017;25.02.2017;179;51;38;251,82;31;0;0;4;;;;
24;24.02.2017;20.03.2017;246;25;41;251,82;23;0;0;25;;;;
3;24.02.2017;27.02.2017;179;51;38;251,82;31;0;0;4;;;;
3;24.02.2017;27.02.2017;179;51;38;251,82;31;0;0;4;;;;
34;07.03.2017;15.03.2017;118;10;37;244,39;28;0;0;9;;;;
24;08.03.2017;24.03.2017;246;25;41;244,39;23;0;0;17;;;;
24;10.03.2017;12.03.2017;246;25;41;244,39;23;0;0;3;;;;
20;10.03.2017;14.03.2017;260;50;36;244,39;23;4;0;5;;;;
1;13.03.2017;21.03.2017;235;11;37;244,39;29;1;1;9;;;;
3;13.03.2017;15.03.2017;179;51;38;244,39;31;0;0;3;;;;
17;14.03.2017;22.03.2017;179;22;40;244,39;22;2;0;9;;;;
23;14.03.2017;22.03.2017;378;49;36;244,39;21;2;4;9;;;;
3;20.03.2017;05.04.2017;179;51;38;244,39;31;0;0;17;;;;
13;22.03.2017;22.03.2017;369;17;31;244,39;25;3;0;1;;;;
10;22.03.2017;30.03.2017;361;52;28;244,39;27;1;4;9;;;;
1;23.03.2017;31.03.2017;235;11;37;244,39;29;1;1;9;;;;
36;24.03.2017;26.03.2017;118;13;50;244,39;31;1;0;3;;;;
20;27.03.2017;04.04.2017;260;50;36;244,39;23;4;0;9;;;;
36;28.03.2017;31.03.2017;118;13;50;244,39;31;1;0;4;;;;
24;28.03.2017;30.03.2017;246;25;41;244,39;23;0;0;3;;;;
36;29.03.2017;06.04.2017;118;13;50;244,39;31;1;0;9;;;;
1;30.03.2017;30.03.2017;235;11;37;244,39;29;1;1;1;;;;
24;30.03.2017;30.03.2017;246;25;41;244,39;23;0;0;1;;;;
36;30.03.2017;30.03.2017;118;13;50;244,39;31;1;0;1;;;;
11;31.03.2017;08.04.2017;289;36;33;244,39;30;2;1;9;;;;
3;31.03.2017;08.04.2017;179;51;38;244,39;31;0;0;9;;;;
3;05.04.2017;09.04.2017;179;51;38;239,41;31;0;0;5;;;;
18;07.04.2017;11.04.2017;330;16;28;239,41;25;0;0;5;;;;
20;07.04.2017;10.04.2017;260;50;36;239,41;23;4;0;4;;;;
13;10.04.2017;14.04.2017;369;17;31;239,41;25;3;0;5;;;;
33;10.04.2017;14.04.2017;248;25;47;239,41;32;2;1;5;;;;
18;12.04.2017;20.04.2017;330;16;28;239,41;25;0;0;9;;;;
3;12.04.2017;20.04.2017;179;51;38;239,41;31;0;0;9;;;;
36;17.04.2017;18.04.2017;118;13;50;239,41;31;1;0;2;;;;
36;19.04.2017;17.08.2017;118;13;50;239,41;31;1;0;121;;;;
3;24.04.2017;28.04.2017;179;51;38;239,41;31;0;0;5;;;;
34;26.04.2017;28.04.2017;118;10;37;239,41;28;0;0;3;;;;
26;28.04.2017;06.05.2017;300;26;43;239,41;25;2;1;9;;;;
20;28.04.2017;02.05.2017;260;50;36;239,41;23;4;0;5;;;;
5;01.05.2017;17.05.2017;235;20;43;246,07;38;1;0;17;;;;
33;03.05.2017;05.05.2017;248;25;47;246,07;32;2;1;3;;;;
13;08.05.2017;16.05.2017;369;17;31;246,07;25;3;0;9;;;;
22;10.05.2017;13.05.2017;179;26;30;246,07;19;0;0;4;;;;
3;10.05.2017;14.05.2017;179;51;38;246,07;31;0;0;5;;;;
10;11.05.2017;12.05.2017;361;52;28;246,07;27;1;4;2;;;;
20;12.05.2017;15.05.2017;260;50;36;246,07;23;4;0;4;;;;
17;15.05.2017;18.05.2017;179;22;40;246,07;22;2;0;4;;;;
17;15.05.2017;17.05.2017;179;22;40;246,07;22;2;0;3;;;;
9;17.05.2017;25.05.2017;228;14;58;246,07;22;2;1;9;;;;
28;17.05.2017;20.05.2017;225;26;28;246,07;24;1;2;4;;;;
18;19.05.2017;27.05.2017;330;16;28;246,07;25;0;0;9;;;;
22;22.05.2017;24.05.2017;179;26;30;246,07;19;0;0;3;;;;
34;22.05.2017;23.05.2017;118;10;37;246,07;28;0;0;2;;;;
1;29.05.2017;06.06.2017;235;11;37;246,07;29;1;1;9;;;;
22;31.05.2017;03.06.2017;179;26;30;246,07;19;0;0;4;;;;
34;05.06.2017;08.06.2017;118;10;37;253,96;28;0;0;4;;;;
3;05.06.2017;08.06.2017;179;51;38;253,96;31;0;0;4;;;;
34;06.06.2017;08.06.2017;118;10;37;253,96;28;0;0;3;;;;
28;08.06.2017;12.06.2017;225;26;28;253,96;24;1;2;5;;;;
3;09.06.2017;09.06.2017;179;51;38;253,96;31;0;0;1;;;;
20;09.06.2017;13.06.2017;260;50;36;253,96;23;4;0;5;;;;
15;12.06.2017;22.07.2017;291;31;40;253,96;25;1;1;41;;;;
3;12.06.2017;06.07.2017;179;51;38;253,96;31;0;0;25;;;;
24;13.06.2017;16.06.2017;246;25;41;253,96;23;0;0;4;;;;
3;19.06.2017;23.06.2017;179;51;38;253,96;31;0;0;5;;;;
5;20.06.2017;28.06.2017;235;20;43;253,96;38;1;0;9;;;;
3;26.06.2017;28.06.2017;179;51;38;253,96;31;0;0;3;;;;
18;27.06.2017;28.06.2017;330;16;28;253,96;25;0;0;2;;;;
1;27.06.2017;05.07.2017;235;11;37;253,96;29;1;1;9;;;;
3;28.06.2017;06.07.2017;179;51;38;253,96;31;0;0;9;;;;
22;28.06.2017;30.06.2017;179;26;30;253,96;19;0;0;3;;;;
28;28.06.2017;30.06.2017;225;26;28;253,96;24;1;2;3;;;;
36;28.06.2017;30.06.2017;118;13;50;253,96;31;1;0;3;;;;
24;30.06.2017;02.07.2017;246;25;41;253,96;23;0;0;3;;;;
22;06.07.2017;08.07.2017;179;26;30;230,29;19;0;0;3;;;;
28;06.07.2017;10.07.2017;225;26;28;230,29;24;1;2;5;;;;
20;07.07.2017;15.07.2017;260;50;36;230,29;23;4;0;9;;;;
21;10.07.2017;18.07.2017;268;11;33;230,29;25;0;0;9;;;;
18;14.07.2017;22.07.2017;330;16;28;230,29;25;0;0;9;;;;
